City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Airai,TL,-8.93,125.41,69.22,92,99,1.68,overcast clouds
174,East London,ZA,-33.02,27.91,68.36,92,93,12.97,light rain
175,Ware,GB,51.81,-0.03,37.99,94,65,8.19,broken clouds
176,Namatanai,PG,-3.67,152.43,85.42,59,58,7.49,broken clouds
177,Banda Aceh,ID,5.56,95.32,74.16,93,100,5.73,overcast clouds
178,Paamiut,GL,61.99,-49.67,31.44,98,100,10.13,snow
179,Ibotirama,BR,-12.19,-43.22,73.76,83,24,1.72,light rain
180,Iqaluit,CA,63.75,-68.51,14,92,90,17.22,light snow
181,Jizan,SA,17.33,42.67,80.6,83,20,3.02,few clouds
182,Cabinda,AO,-5.55,12.2,76.89,89,99,2.89,overcast clouds
183,Guerrero Negro,MX,27.98,-114.06,68.29,28,0,12.03,clear sky
184,Sesheke,ZM,-17.48,24.3,69.75,87,100,6.82,moderate rain
185,Port Hardy,CA,50.7,-127.42,51.8,66,75,23.04,broken clouds
186,Honiara,SB,-9.43,159.95,87.8,70,40,2.24,light rain
187,Lompoc,US,34.64,-120.46,62.6,51,1,10.29,clear sky
188,Port Blair,IN,11.67,92.75,79.52,75,0,13.67,clear sky
189,Oum Hadjer,TD,13.3,19.7,75.72,19,35,8.16,scattered clouds
190,Lucapa,AO,-8.42,20.74,65.41,99,100,4.43,light rain
191,Longyearbyen,SJ,78.22,15.64,12.2,78,75,14.99,light snow
192,Atuona,PF,-9.8,-139.03,78.64,73,23,16.87,few clouds
193,Campoverde,PE,-8.48,-74.81,80.6,83,40,3.36,light rain
194,Kismayo,SO,-0.36,42.55,79.5,79,76,9.93,broken clouds
195,Zahir Pir,PK,28.81,70.52,61.05,37,5,7.58,clear sky
196,Beyneu,KZ,45.32,55.2,13.98,93,14,10.38,few clouds
197,Araouane,ML,18.9,-3.53,71.96,31,23,8.93,few clouds
198,Meulaboh,ID,4.14,96.13,75.15,84,99,2.44,overcast clouds
199,Amga,RU,60.9,131.96,-7.19,90,100,4.63,overcast clouds
200,Odweyne,SO,9.41,45.06,73.06,49,2,4.85,clear sky
201,Dikson,RU,73.51,80.55,11.59,97,96,8.01,light snow
202,Kyren,RU,51.68,102.14,0.99,75,11,2.86,few clouds
203,Norton,ZW,-17.88,30.7,62.01,93,98,5.99,overcast clouds
204,Forestville,US,38.85,-76.88,45,48,90,16.11,overcast clouds
205,Ahipara,NZ,-35.17,173.17,68.29,64,40,7.25,scattered clouds
206,Goderich,CA,43.75,-81.72,28.4,79,98,10.29,overcast clouds
207,Chase,CA,50.82,-119.69,35.6,69,27,2.24,scattered clouds
208,Mago,RU,53.25,140.18,2.75,90,2,2.48,clear sky
209,Lebu,CL,-37.62,-73.65,54.39,84,27,12.37,scattered clouds
210,Faya,SA,18.39,42.45,57.2,93,40,4.7,scattered clouds
211,Nanortalik,GL,60.14,-45.24,30.6,97,98,3.76,overcast clouds
212,Cabo San Lucas,MX,22.89,-109.91,73.99,53,5,9.17,clear sky
213,Saint-Joseph,RE,-21.37,55.62,73.4,64,0,6.93,clear sky
214,Egvekinot,RU,66.32,-179.17,6.84,95,36,0.98,scattered clouds
215,San Rafael Del Sur,NI,11.85,-86.44,84.2,70,40,6.93,scattered clouds
216,Barcelona,ES,41.39,2.16,46.99,65,0,2.24,clear sky
217,Gikongoro,RW,-2.46,29.57,56.62,89,5,3.09,clear sky
218,Bakaly,RU,55.18,53.8,5.29,87,1,3.44,clear sky
219,Candido De Abreu,BR,-24.57,-51.33,68.18,93,95,5.66,overcast clouds
220,Portland,US,45.52,-122.68,48,56,20,18.34,few clouds
221,Heihe,CN,50.24,127.49,-2.2,84,20,2.24,few clouds
222,San Quintin,MX,30.48,-115.95,63.64,46,82,8.55,broken clouds
223,Cloquet,US,46.72,-92.46,28.4,86,90,3.36,light snow
224,Cascais,PT,38.7,-9.42,51.01,87,57,5.99,broken clouds
225,Takaka,NZ,-40.85,172.8,64,71,36,5.99,scattered clouds
226,Kavaratti,IN,10.57,72.64,82.62,76,17,12.44,few clouds
227,Sinnamary,GF,5.38,-52.95,79,84,99,6.89,overcast clouds
228,Turinsk,RU,58.05,63.7,10.54,92,30,5.37,scattered clouds
229,Avera,US,33.19,-82.53,48.2,81,1,3.36,clear sky
230,Dinguiraye,GN,11.3,-10.72,73.71,27,41,3.31,scattered clouds
231,Tabriz,IR,38.08,46.29,28.4,92,75,2.24,broken clouds
232,Hervey Bay,AU,-25.3,152.85,84.99,61,90,17.22,overcast clouds
233,Rafsanjan,IR,30.41,55.99,46.15,78,100,6.51,moderate rain
234,Kysyl-Syr,RU,63.9,122.76,2.7,93,100,8.9,overcast clouds
235,Westport,US,41.14,-73.36,42.8,70,90,16.11,overcast clouds
236,Salalah,OM,17.02,54.09,73.4,56,0,3.36,clear sky
237,Ancud,CL,-41.87,-73.82,64.4,48,0,4.7,clear sky
238,Russell,US,32.35,-85.2,55.4,76,1,4.25,haze
239,Manono,CD,-7.3,27.42,66.74,96,67,1.45,broken clouds
240,Vao,NC,-22.67,167.48,76.06,84,20,16.13,few clouds
241,Porto Santo,PT,33.07,-16.34,59,67,20,17.22,few clouds
242,Luocheng,CN,29.38,104.03,45.72,85,97,1.86,overcast clouds
243,Iisalmi,FI,63.56,27.19,35.6,100,90,11.41,light rain
244,Nikolayevsk-Na-Amure,RU,53.14,140.73,6.67,87,0,4.43,clear sky
245,Esmeraldas,BR,-19.76,-44.31,77,69,0,9.17,moderate rain
246,Jinhua,CN,29.11,119.65,45.1,83,24,2.13,few clouds
247,Tottori,JP,35.5,134.23,41,75,75,10.29,broken clouds
248,Tual,ID,-5.67,132.75,84.49,68,82,1.1,broken clouds
249,Faqirwali,PK,29.47,73.03,59.45,43,35,6.35,scattered clouds
250,Vardo,NO,70.37,31.11,35.76,81,99,22.06,overcast clouds
251,Kruisfontein,ZA,-34,24.73,62.01,92,28,1.01,scattered clouds
252,Darhan,MN,49.49,105.92,1.35,87,5,5.26,clear sky
253,Henties Bay,NA,-22.12,14.28,60.01,87,99,2.57,overcast clouds
254,Roebourne,AU,-20.78,117.13,89.82,48,2,12.03,clear sky
255,Apatity,RU,67.56,33.4,34.09,95,100,7.72,overcast clouds
256,Grenaa,DK,56.42,10.88,41,86,100,2.24,overcast clouds
257,Talnakh,RU,69.49,88.4,12.2,92,75,8.95,broken clouds
258,Sepuka,TZ,-4.75,34.53,63.79,83,0,9.37,clear sky
259,Klaksvik,FO,62.23,-6.59,35.6,93,100,6.93,overcast clouds
260,Mahebourg,MU,-20.41,57.7,75.2,83,20,5.82,few clouds
261,Kattivakkam,IN,13.22,80.32,78.8,94,75,8.05,mist
262,Dunedin,NZ,-45.87,170.5,53.01,71,73,24,broken clouds
263,Tacoronte,ES,28.48,-16.41,55,93,90,18.34,overcast clouds
264,Torbay,CA,47.67,-52.73,50,93,75,13.87,broken clouds
265,Sorland,NO,67.67,12.69,38.03,75,55,19.55,broken clouds
266,Mildura,AU,-34.2,142.15,64.99,48,40,13.87,scattered clouds
267,Anori,BR,-3.77,-61.64,77.59,87,100,2.28,overcast clouds
268,Moron,AR,-34.65,-58.62,64,62,0,7,clear sky
269,Moerai,PF,-22.43,-151.33,79.23,79,95,14.94,overcast clouds
270,Saryg-Sep,RU,51.5,95.6,-14.44,85,21,2.8,few clouds
271,Caravelas,BR,-17.71,-39.25,75.33,84,75,6.53,broken clouds
272,Najran,SA,17.49,44.13,66.2,48,0,2.44,clear sky
273,Basco,PH,20.45,121.97,76.86,86,98,32.46,overcast clouds
274,Palu,ID,-0.89,119.87,83.91,59,98,2.13,light rain
275,Carnarvon,AU,-24.87,113.63,73.4,53,67,18.34,broken clouds
276,Usa River,TZ,-3.37,36.85,65.3,87,6,2.21,clear sky
277,Korla,CN,41.76,86.15,21.13,88,40,0.81,scattered clouds
278,Xining,CN,36.62,101.77,16.32,86,96,1.74,overcast clouds
279,Ponyri,RU,52.32,36.3,21.54,77,0,10.4,clear sky
280,Kutum,SD,14.2,24.67,60.22,29,25,5.79,scattered clouds
281,Altay,CN,47.87,88.12,8.8,60,0,3.33,clear sky
282,Boone,US,39.03,-92.33,50,68,1,5.01,clear sky
283,Saint-Francois,FR,46.42,3.91,32,92,75,2.24,broken clouds
284,Lucea,JM,18.45,-78.17,80.6,78,20,6.93,few clouds
285,Bonavista,CA,48.65,-53.11,46.99,93,100,4.7,light rain
286,Birao,CF,10.28,22.79,72.32,25,49,5.03,scattered clouds
287,Vila Velha,BR,-20.33,-40.29,78.8,83,90,11.41,overcast clouds
