City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Nicoya,CR,84.2,clear sky,10.15,-85.45,Villas Playa Samara Beach Front-All Inclusive Resort
597,Ebebiyin,GQ,67.42,few clouds,2.15,11.34,Vallée-du-Ntem
599,Kathu,TH,82.0,few clouds,7.92,98.33,Beyond Resort Kata
601,Antalaha,MG,73.33,few clouds,-14.9,50.28,Hotel Vitasoa
603,Kralendijk,BQ,80.6,few clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
604,Ambilobe,MG,74.43,scattered clouds,-13.2,49.05,Iharana Bush Camp
605,Bandiagara,ML,76.08,few clouds,14.35,-3.61,Hotel de la Falaise
606,Puerto Narino,CO,80.6,light rain,-3.77,-70.38,Reserva Natural Tucuchira
607,Whitianga,NZ,70.07,few clouds,-36.83,175.7,Pacific Harbour Villas
608,Alappuzha,IN,77.72,overcast clouds,9.49,76.33,Panoramic Sea Resort
610,Kirakira,SB,81.95,moderate rain,-10.45,161.92,SanBiz Lodge
611,Codajas,BR,75.87,light rain,-3.84,-62.06,Hotel Tamires
612,Champerico,GT,82.4,light rain,14.3,-91.92,Hotel Astor
615,Tanout,NE,74.93,broken clouds,14.97,8.89,
616,Soyo,AO,77.34,overcast clouds,-6.13,12.37,Hotel Mpampa
618,Matara,LK,75.38,broken clouds,5.95,80.54,Palm Paradise Cabanas & Villas Beach Resort Tangalle
619,Ursulo Galvan,MX,64.99,overcast clouds,22.73,-98.3,HOTEL LAS FUENTES DEL BERNAL
621,Sola,VU,78.44,scattered clouds,-13.88,167.55,Ulkel Guest House
624,Buta,CD,72.21,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
625,Quatre Cocos,MU,75.2,few clouds,-20.21,57.76,The Ravenala Attitude Hotel
626,Goure,NE,72.52,scattered clouds,13.98,10.27,Inspection de l'Enseignement Primaire de Kellé
631,Buala,SB,84.63,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
633,Black River,JM,80.6,few clouds,18.03,-77.85,Sunscape Splash Montego Bay
634,Porto Walter,BR,72.7,light rain,-8.27,-72.74,Hotel Silva
637,Arlit,NE,78.03,clear sky,18.74,7.39,Hôtel Telwa Bungalow
638,Mpika,ZM,63.41,light rain,-11.83,31.45,Melodies Lodge
639,Envira,BR,73.15,light rain,-7.3,-70.22,Envira hotel
641,Beloha,MG,69.91,overcast clouds,-25.17,45.05,
642,Cristalina,BR,67.01,broken clouds,-16.77,-47.61,HOTEL TOPAZIO
647,Guadalupe Victoria,MX,71.6,clear sky,32.29,-115.11,City Express
649,Puruliya,IN,60.98,clear sky,23.33,86.37,Hotel Akash Ganga
652,Manali,IN,78.8,mist,13.17,80.27,The Accord Metropolitan
654,Dabola,GN,74.44,few clouds,10.75,-11.12,Hotel Tinkisso
658,Namibe,AO,65.05,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
660,Port Macquarie,AU,82.4,scattered clouds,-31.43,152.92,Rydges Port Macquarie
661,Paranaiba,BR,75.72,light rain,-19.68,-51.19,Villa Rica Park Hotel GMR
664,Bonthe,SL,79.11,clear sky,7.53,-12.51,Bonthe Holiday Village
665,Rockhampton,AU,84.2,scattered clouds,-23.38,150.5,Mercure Rockhampton
667,Sambava,MG,74.07,few clouds,-14.27,50.17,Melrose
668,Ghanzi,BW,71.1,scattered clouds,-21.57,21.78,Tautona Lodge
671,Broken Hill,AU,64.4,clear sky,-31.95,141.43,Royal Exchange Hotel
672,Taltal,CL,61.75,few clouds,-25.4,-70.48,Residencial Karime
673,Lumeje,AO,66.24,light rain,-11.55,20.78,
674,Campos Sales,BR,76.96,broken clouds,-7.07,-40.38,Millenium Hotel
675,Bouca,CF,72.75,overcast clouds,6.51,18.27,
678,Rio Grande,BR,62.01,broken clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
