City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Waimana,NZ,79.0,clear sky,-38.15,177.08,Pacific Coast Motel
447,La Union,PE,74.26,broken clouds,-5.4,-80.75,Casa Andina Premium Piura
453,Toamasina,MG,73.4,scattered clouds,-18.17,49.38,Hotel H1
454,Pozo Colorado,PY,76.95,broken clouds,-23.49,-58.8,Hospedaje la Amistad
455,Presidencia Roque Saenz Pena,AR,67.14,clear sky,-26.79,-60.44,Hotel Aconcagua
457,Bathsheba,BB,80.6,broken clouds,13.22,-59.52,Hilton Barbados Resort
459,Jaggayyapeta,IN,65.84,clear sky,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
462,Formosa,AR,75.2,clear sky,-26.18,-58.18,Asterión Hotel
463,Cap Malheureux,MU,73.99,few clouds,-19.98,57.61,The Ravenala Attitude Hotel
467,Majene,ID,83.68,overcast clouds,-3.54,118.97,Kost Putri RABBANI
468,Moratuwa,LK,75.2,light rain,6.77,79.88,Mount Lavinia Hotel
470,Makaha,US,86.0,overcast clouds,21.47,-158.22,BackPackers Hawaii
472,Vanimo,PG,83.17,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
474,Aguimes,ES,62.6,scattered clouds,27.91,-15.45,Santa Mónica Suites Hotel
475,Isla Vista,US,66.0,clear sky,34.41,-119.86,Best Western Plus South Coast Inn
477,Half Moon Bay,US,60.8,broken clouds,37.46,-122.43,The Clift Royal Sonesta Hotel
480,Geraldton,AU,62.6,clear sky,-28.77,114.6,Broadwater Mariner Resort
484,San Juan,AR,77.4,clear sky,-31.54,-68.54,Hotel Provincial
485,Inhambane,MZ,71.31,overcast clouds,-23.86,35.38,Lobster Chalets
486,Richards Bay,ZA,70.66,broken clouds,-28.78,32.04,Imvubu Lodge
487,Nishihara,JP,69.8,overcast clouds,26.18,127.76,The Beach Tower Okinawa
492,Huarmey,PE,67.68,overcast clouds,-10.07,-78.15,Hotel Miramar
493,Waipawa,NZ,66.2,few clouds,-41.41,175.52,The Claremont Motel and Apartments Martinborough
496,Riyadh,SA,71.6,clear sky,24.69,46.72,ibis Riyadh Olaya Street
500,Port Keats,AU,85.77,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
502,Simpang,ID,78.17,overcast clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
505,Pointe Michel,DM,77.68,clear sky,15.25,-61.38,Fort Young Hotel
509,Sarishabari,BD,67.32,clear sky,24.73,89.83,Grameenphone Customer Care
510,Chunhuhub,MX,73.04,light rain,19.55,-88.68,Centro Ecoturistico Kíichpam K'áax
511,Yambio,SS,71.4,clear sky,4.57,28.4,Kabash Inn
513,Umm Lajj,SA,69.73,clear sky,25.02,37.27,Moon light Furnished Units
521,Los Llanos De Aridane,ES,60.8,overcast clouds,28.66,-17.92,H10 Taburiente Playa
523,Santa Isabel Do Rio Negro,BR,76.96,overcast clouds,-0.41,-65.02,Pousada Barati Amazonas
525,Itarema,BR,80.06,scattered clouds,-2.92,-39.92,The Spot - Beachfront Sports Pousada
526,Port Augusta,AU,66.2,scattered clouds,-32.5,137.77,Majestic Oasis Apartments
529,Lakeside,US,60.8,clear sky,30.13,-81.77,Embassy Suites by Hilton Jacksonville Baymeadows
530,Tautira,PF,86.0,light rain,-17.73,-149.15,Vanira Lodge
532,Meiganga,CM,64.47,few clouds,6.52,14.3,DFR HOUSE
536,Hobyo,SO,78.49,few clouds,5.35,48.53,Halane Hotel and Restaurent
537,Serenje,ZM,62.62,moderate rain,-13.23,30.24,SERENJE SOCH INN
538,Ixtapa,MX,77.0,broken clouds,20.7,-105.2,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
541,Wajid,SO,73.94,scattered clouds,3.81,43.25,xamdihotelresturant114
542,Pahrump,US,62.6,clear sky,36.21,-115.98,Best Western Pahrump Oasis
545,Maningrida,AU,87.91,overcast clouds,-12.07,134.27,Arnhem Land Barramundi Lodge
548,Itaqui,BR,64.9,clear sky,-29.13,-56.55,Posada San Carlos del Guaviraví
549,Calama,CL,69.8,clear sky,-22.47,-68.93,Park Hotel Calama
550,Ayorou,NE,77.31,few clouds,14.73,0.92,Hotel Amenokal
554,Lima,PE,64.99,heavy intensity rain,-12.04,-77.03,Radisson Hotel Decapolis Miraflores
555,Waikuku,NZ,62.6,broken clouds,-43.3,172.68,Commodore Airport Hotel
556,Planeta Rica,CO,76.87,moderate rain,8.41,-75.59,Hotel Florida Sinú
559,Thanatpin,MM,71.6,mist,17.21,96.3,Clover Hotel
562,Rio Gallegos,AR,69.8,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
564,Jalu,LY,63.97,few clouds,29.03,21.55,صاحبة الفخامة
565,Kang,BW,68.74,overcast clouds,-23.68,22.79,Kalahari Rest Lodge
566,Boyuibe,BO,68.0,broken clouds,-20.42,-63.28,J R Hotel
567,Luis Correia,BR,81.43,overcast clouds,-2.88,-41.67,Hotel Delta
569,Teodoro Sampaio,BR,73.11,overcast clouds,-22.53,-52.17,MINI HOTEL
571,Biak,ID,82.87,overcast clouds,-0.91,122.88,Hotel Santika Luwuk
573,Ampanihy,MG,68.56,overcast clouds,-24.7,44.75,Angora Hotel
574,Arawa,PG,87.04,overcast clouds,-6.21,155.54,Coastline Guest House
575,Amealco,MX,73.4,broken clouds,20.18,-100.15,Hotel Hacienda Cantalagua
576,Ugoofaaru,MV,82.29,overcast clouds,5.67,73.0,Sun Siyam Iru Fushi
577,Lusambo,CD,68.59,broken clouds,-4.97,23.45,
578,Belmonte,BR,77.0,overcast clouds,-15.86,-38.88,Bahiadomizil
583,Sur,OM,75.04,clear sky,22.57,59.53,Sur Plaza Hotel
584,Bouake,CI,77.0,few clouds,7.69,-5.02,Hotel Residence Nannan
586,Lamu,KE,80.6,few clouds,-2.27,40.9,Lamu House
588,Salinas,US,60.01,clear sky,36.68,-121.66,The Sanctuary Beach Resort
589,Tacuati,PY,71.33,overcast clouds,-23.45,-56.58,La Rosarina Hotel
593,Jaltenango,MX,70.2,light rain,15.87,-92.72,Hotel el Triunfo
594,Rabak,SD,68.95,clear sky,13.18,32.74,فندق ربك Rabak Hotel
595,Nambucca Heads,AU,75.2,overcast clouds,-30.65,153.0,Opal Cove Resort Coffs Harbour
